City,Max Temperature,Cloudiness,Latitude,Longitude,Country,Wind Speed,Humidity,Dates
Puerto Nariño,75.2,75,-3.7703,-70.3831,CO,2.3,100,1612497820
Flin Flon,-5.96,100,54.7682,-101.865,CA,8.39,90,1612497820
Nacala,77.0,84,-14.5428,40.6728,MZ,3.71,85,1612497820
Tooele,32.0,1,40.5308,-112.2983,US,8.05,80,1612497820
Llata,53.22,100,-9.4167,-76.7833,PE,3.83,70,1612497820
Dāmghān,40.51,59,36.1683,54.348,IR,2.77,65,1612497820
Mayo,39.2,90,38.8876,-76.5119,US,9.22,65,1612497820
Kazachinskoye,8.74,87,57.6953,93.2761,RU,6.35,93,1612497820
Novy Urengoy,-23.73,26,66.0833,76.6333,RU,7.78,86,1612497821
Shitkino,10.96,100,56.3703,98.3543,RU,8.95,94,1612497821
Ust'-Ilimsk,5.11,99,58.0006,102.6619,RU,6.31,92,1612497821
Menongue,60.39,3,-14.6585,17.691,AO,3.2,84,1612497821
Vigrestad,19.4,0,58.5667,5.7,NO,4.61,45,1612497821
Norman Wells,-41.8,40,65.282,-126.8329,CA,6.91,66,1612497821
Hofn,36.48,100,64.2539,-15.2082,IS,17.25,79,1612497821
Vokhma,11.3,100,58.9303,46.7586,RU,1.3,96,1612497821
Semīrom,35.17,35,31.4167,51.5667,IR,2.84,76,1612497822
Saint-Pierre,82.99,75,-21.3393,55.4781,RE,10.36,69,1612497822
Polyarny,-2.2,40,69.1989,33.4478,RU,9.24,84,1612497822
Manjacaze,76.73,100,-24.7117,33.8828,MZ,2.46,88,1612497822
Port Blair,82.83,16,11.6667,92.75,IN,13.56,70,1612497722
Ambon City,89.6,20,-3.6954,128.1814,ID,6.91,62,1612497787
Marawi,81.0,74,7.9986,124.2928,PH,7.0,84,1612497822
Rome,21.0,1,43.2128,-75.4557,US,5.75,86,1612497822
Polunochnoye,7.23,100,60.8697,60.4153,RU,2.19,96,1612497823
Giresun Province,51.8,75,40.5,38.5,TR,5.75,100,1612497823
Pimenta Bueno,74.52,100,-11.6725,-61.1936,BR,2.57,93,1612497823
Ancud,68.0,0,-41.8697,-73.8203,CL,6.91,49,1612497780
Kamina,63.46,100,-8.7386,24.9906,CD,2.84,90,1612497823
Camacupa,62.42,99,-12.0167,17.4833,AO,3.56,96,1612497823
Te Anau,75.69,63,-45.4167,167.7167,NZ,2.71,39,1612497823
Mapiripán,76.12,100,2.8892,-72.1256,CO,2.93,88,1612497823
Fairbanks,-23.01,1,64.8378,-147.7164,US,2.39,75,1612497608
Pamanukan,81.36,99,-6.2842,107.8106,ID,15.05,83,1612497824
Salekhard,-19.43,88,66.53,66.6019,RU,5.35,87,1612497597
Kabala,65.16,1,9.5833,-11.55,SL,3.33,90,1612497824
Broken Hill,71.6,40,-31.95,141.4333,AU,12.66,37,1612497824
Mataram,86.0,75,-8.5833,116.1167,ID,16.11,74,1612497824
Khartoum,62.6,0,15.5518,32.5324,SD,14.97,29,1612497824
Sorong,84.31,85,-0.8833,131.25,ID,4.5,67,1612497824
Lagos,78.8,0,6.5833,3.75,NG,3.33,87,1612497824
Pacific Grove,52.0,1,36.6177,-121.9166,US,6.91,76,1612497825
Bontang,87.19,99,0.1333,117.5,ID,2.55,61,1612497825
Northampton,32.0,78,40.8754,-75.2499,US,1.68,87,1612497692
Shetpe,41.31,65,44.1667,52.1167,KZ,12.77,76,1612497776
Linxi,49.53,0,39.7,118.4333,CN,14.34,38,1612497825
Talnakh,-23.53,99,69.4865,88.3972,RU,1.16,85,1612497825
Half Moon Bay,52.0,1,37.4636,-122.4286,US,5.75,49,1612497825
Sussex,28.0,1,41.1834,-74.6663,US,2.77,93,1612497826
Aripuanã,74.77,95,-9.1667,-60.6333,BR,0.69,95,1612497826
Adrar,64.72,52,20.5022,-10.0711,MR,5.32,25,1612497826
Chaman,45.88,0,30.9236,66.4512,PK,2.66,51,1612497826
Price,26.6,1,39.5994,-110.8107,US,6.91,54,1612497826
Ol'ga,20.26,0,43.7444,135.2892,RU,2.84,74,1612497826
Sakakah,51.8,40,29.9697,40.2064,SA,6.91,87,1612497826
Okhotsk,3.72,93,59.3833,143.3,RU,10.74,88,1612497827
Shubarkuduk,31.91,98,49.1447,56.4872,KZ,8.63,97,1612497827
Waterloo,28.4,90,43.4668,-80.5164,CA,13.8,86,1612497827
Champerico,64.0,14,14.3,-91.9167,GT,4.0,94,1612497827
Mount Gambier,73.4,75,-37.8333,140.7667,AU,17.27,38,1612497827
Nikel,23.0,40,69.4128,30.222,RU,11.5,80,1612497827
Vaitape,82.17,1,-16.5167,-151.75,PF,5.14,65,1612497765
San Borja,71.37,100,-14.8167,-66.85,BO,3.29,93,1612497827
Port Hedland,85.96,36,-20.3167,118.5667,AU,13.4,67,1612497828
Kidderminster,42.01,81,52.3882,-2.25,GB,3.78,100,1612497828
Ati,65.19,0,13.2154,18.3353,TD,14.99,26,1612497828
Shahr-e Bābak,43.7,0,30.1165,55.1186,IR,6.6,52,1612497828
Santa Maria,64.4,0,-29.6842,-53.8069,BR,4.72,100,1612497828
Mahina,82.0,11,-17.5065,-149.489,PF,1.99,65,1612497828
La Rioja,44.6,100,42.25,-2.5,ES,1.25,93,1612497828
Kasempa,62.38,44,-13.4584,25.8338,ZM,2.48,94,1612497829
Inuvik,-36.4,100,68.3499,-133.7218,CA,8.05,74,1612497829
Linxia Chengguanzhen,35.69,0,35.6003,103.2064,CN,2.33,56,1612497683
Paragould,39.2,1,36.0584,-90.4973,US,14.97,65,1612497579
Departamento de Maldonado,68.0,40,-34.6667,-54.9167,UY,23.02,73,1612497829
Le Vauclin,77.0,20,14.5452,-60.8388,MQ,10.36,78,1612497829
Fare,81.9,0,-16.7,-151.0167,PF,7.81,67,1612497829
Mackenzie,15.8,90,55.2999,-123.1698,CA,2.3,100,1612497829
Darnah,57.4,0,32.767,22.6367,LY,13.22,72,1612497829
Chumikan,-13.36,11,54.7183,135.315,RU,25.97,80,1612497604
Brignoles,52.0,100,43.4,6.0667,FR,4.32,93,1612497830
Tumpat,82.4,20,6.1978,102.171,MY,3.44,74,1612497830
Fallon,33.8,40,39.4735,-118.7774,US,5.75,69,1612497830
Brisbane,86.0,20,-27.4679,153.0281,AU,10.36,57,1612497609
Puerto Santander,74.21,69,8.3636,-72.4063,CO,0.98,88,1612497830
Sawtell,82.4,7,-30.3833,153.1,AU,12.66,65,1612497830
Dhidhdhoo,81.3,85,6.8833,73.1,MV,5.64,71,1612497790
Nahrin,45.63,0,36.0649,69.1334,AF,5.23,43,1612497830
West Wendover,35.6,1,40.7391,-114.0733,US,4.61,38,1612497718
Belmonte,77.0,40,-15.8631,-38.8828,BR,4.61,83,1612497803
Korsakovo,17.78,100,53.2677,37.3569,RU,20.69,96,1612497831
Quatre Cocos,82.99,40,-20.2078,57.7625,MU,11.5,65,1612497831
Bonfim,78.28,89,3.0833,-59.95,BR,12.39,76,1612497831
Troitsko-Pechorsk,17.1,100,62.7084,56.1964,RU,5.75,97,1612497831
Kanie,46.99,75,35.1333,136.8,JP,6.91,57,1612497831
Samarinda,85.5,98,-0.5,117.15,ID,1.81,75,1612497832
Jhawarian,55.17,0,32.3614,72.6228,PK,4.07,65,1612497832
Mirador,73.09,99,-6.3708,-44.3631,BR,1.9,88,1612497832
Diu,73.98,17,20.7141,70.9822,IN,6.4,29,1612497544
Tezu,78.48,0,27.9167,96.1667,IN,3.15,17,1612497832
Boende,72.59,95,-0.2167,20.8667,CD,2.66,96,1612497832
Arima,78.01,20,10.6333,-61.2833,TT,5.86,83,1612497832
Sabha,51.75,0,27.0377,14.4283,LY,8.75,45,1612497833
Laguna,50.0,1,38.421,-121.4238,US,1.72,57,1612497833
Kyra,17.47,98,49.5776,111.9753,RU,5.41,88,1612497833
Upington,69.8,0,-28.4478,21.2561,ZA,6.91,37,1612497833
Lexington,41.0,90,37.9887,-84.4777,US,10.36,93,1612497547
Nyurba,-33.5,66,63.2842,118.3319,RU,3.98,82,1612497833
Samarai,84.43,59,-10.6167,150.6667,PG,5.32,71,1612497833
Oistins,78.8,20,13.0667,-59.5333,BB,19.57,61,1612497833
Niquero,69.55,8,20.0431,-77.5828,CU,15.55,74,1612497834
Moba,42.06,0,33.2288,105.0179,CN,2.44,54,1612497834
Mollendo,70.83,71,-17.0231,-72.0147,PE,4.47,79,1612497673
Navahrudak,3.47,95,53.6,25.8333,BY,6.87,97,1612497834
Pelym,7.56,100,61.0108,61.9978,RU,4.76,95,1612497834
Māndal,61.68,0,25.45,74.5667,IN,5.93,53,1612497834
Berlevåg,24.8,40,70.8578,29.0864,NO,9.22,80,1612497769
Isiro,65.7,26,2.7739,27.616,CD,1.61,95,1612497834
Agüimes,57.2,20,27.9054,-15.4461,ES,9.22,58,1612497834
Buraidah,64.4,40,26.326,43.975,SA,14.97,42,1612497816
Palmer,25.0,40,42.1584,-72.3287,US,1.14,85,1612497835
Akdepe,37.4,100,42.0551,59.3788,TM,6.91,86,1612497835
Vicuña,60.8,90,-30.0319,-70.7081,CL,3.44,82,1612497835
Jumla,39.83,91,29.2747,82.1838,NP,7.52,69,1612497783
Perth,75.99,0,-31.9333,115.8333,AU,21.85,29,1612497707
Husavik,26.6,0,66.0449,-17.3389,IS,16.11,68,1612497835
Passy,44.01,100,45.9203,6.6877,FR,5.79,97,1612497836
Coyhaique,60.8,0,-45.5752,-72.0662,CL,2.3,63,1612497551
Safonovo,4.66,95,55.15,33.2167,RU,8.46,95,1612497836
Newport,43.0,17,51.5877,-2.9984,GB,6.98,98,1612497700
Sabzawār,32.0,0,36.2126,57.6819,IR,11.5,47,1612497836
St. George's,78.8,40,12.0564,-61.7485,GD,14.97,78,1612497836
Isla Vista,54.0,1,34.4133,-119.861,US,3.44,71,1612497836
Hualmay,69.57,98,-11.0964,-77.6139,PE,5.55,84,1612497836
Bambanglipuro,85.96,95,-7.95,110.2833,ID,8.23,66,1612497836
El Batey,68.0,90,19.7667,-70.5167,DO,8.23,100,1612497837
Alekseyevsk,6.08,99,57.8406,108.3492,RU,3.65,92,1612497837
Mendi,64.15,89,-6.1761,143.6513,PG,3.89,94,1612497837
Yangambi,70.57,98,0.8102,24.4336,CD,2.04,98,1612497837
Itaituba,74.21,77,-4.2761,-55.9836,BR,1.34,91,1612497664
Xushan,55.4,40,30.1764,121.2457,CN,2.24,71,1612497837
Kavieng,83.75,88,-2.5744,150.7967,PG,1.92,71,1612497768
Quryq,46.74,100,43.2,51.65,KZ,17.13,83,1612497837
Chute-aux-Outardes,28.4,90,49.1168,-68.399,CA,3.44,74,1612497838
Vila Franca do Campo,53.6,20,37.7167,-25.4333,PT,11.5,76,1612497838
Kembé,67.69,86,4.6228,21.8865,CF,4.9,83,1612497838
Lilongwe,67.33,90,-13.9669,33.7873,MW,0.92,85,1612497838
Ketchikan,39.2,75,55.3422,-131.6461,US,12.66,100,1612497838
Kapuskasing,30.2,97,49.4169,-82.4331,CA,11.5,69,1612497838
Kyabé,72.86,49,9.4515,18.9449,TD,8.21,21,1612497838
Kearney,32.0,1,40.6995,-99.0815,US,10.36,80,1612497838
Broome,26.6,1,42.2506,-75.833,US,10.36,68,1612497838
Springfield,30.99,1,37.2153,-93.2982,US,8.05,59,1612497679
Morristown,37.0,90,36.214,-83.2949,US,3.44,100,1612497814
Bolgatanga,74.82,60,10.7856,-0.8514,GH,7.16,19,1612497839
Apiaí,65.57,6,-24.5094,-48.8425,BR,2.35,100,1612497839
Biankouma,68.61,12,7.7391,-7.6138,CI,1.86,93,1612497839
Charters Towers,89.29,92,-20.1,146.2667,AU,14.45,51,1612497839
Da Lat,76.41,81,11.9465,108.4419,VN,1.83,47,1612497839
Iquitos,75.2,40,-3.7481,-73.2472,PE,4.61,94,1612497840
Chapais,8.6,1,49.7834,-74.8492,CA,4.7,85,1612497840
Behbahān,42.8,0,30.5959,50.2417,IR,3.74,93,1612497840
Sibay,34.9,99,52.7181,58.6658,RU,6.93,96,1612497738
Lorengau,80.8,100,-2.0226,147.2712,PG,6.35,75,1612497769
Lábrea,75.99,100,-7.2586,-64.7981,BR,1.36,93,1612497840
Yārāda,75.2,0,17.65,83.2667,IN,3.44,46,1612497840
Tagusao,83.21,87,9.1924,117.8141,PH,8.79,68,1612497841
Yinchuan,41.67,0,38.4681,106.2731,CN,12.8,48,1612497841
Yulara,68.0,90,-25.2406,130.9889,AU,13.8,68,1612497766
Sumenep,84.43,58,-7.0167,113.8667,ID,18.9,75,1612497841
Teguise,55.4,0,29.0605,-13.564,ES,6.91,76,1612497841
Soyo,80.15,100,-6.1349,12.3689,AO,9.69,85,1612497841
Joshīmath,42.4,35,30.5667,79.5667,IN,1.32,54,1612497841
Vila Velha,79.0,40,-20.3297,-40.2925,BR,8.05,78,1612497714
Micheweni,80.83,82,-4.9667,39.8333,TZ,8.08,72,1612497842
Vestmannaeyjar,39.72,100,63.4427,-20.2734,IS,31.7,73,1612497842
Qui Nhon,76.1,44,13.7667,109.2333,VN,13.22,75,1612497842
Rizhao,49.86,100,35.4275,119.4553,CN,14.23,49,1612497842
Tiffin,35.01,100,41.1145,-83.178,US,5.99,94,1612497781
Marsá Maţrūḩ,60.8,75,31.3525,27.2453,EG,12.66,67,1612497842
Dunedin,55.99,67,-45.8742,170.5036,NZ,25.99,70,1612497842
Karasjok,26.6,90,69.4719,25.5112,NO,10.36,80,1612497842
Kenai,18.0,90,60.5544,-151.2583,US,10.36,79,1612497843
Praia da Vitória,51.8,75,38.7333,-27.0667,PT,19.55,87,1612497843
